,order_id,customer_id,date_of_sale,product_id.y,product_name.y
1,200001,100035,19/02/19,27273073,Fiske Boller
2,200002,100003,07/02/19,27273070,Melkesjokolade
3,200003,100086,01/06/19,"2,72,73,07,82,72,73,080","Dove Soap,Trixie Wicker Cat Basket"
4,200003,100065,01/06/19,"2,72,73,07,82,72,73,080","Dove Soap,Trixie Wicker Cat Basket"
5,200004,100044,22/06/19,27273081,Tine Milk
6,200005,100058,31/07/19,"2,72,73,07,52,72,73,070","Tine Milk,Uriage"
7,200005,100041,31/07/19,"2,72,73,07,52,72,73,070","Tine Milk,Uriage"
8,200006,100071,02/04/19,"2,72,73,07,32,72,73,070","Dove Soap,Crest"
9,200006,100063,02/04/19,"2,72,73,07,32,72,73,070","Dove Soap,Crest"
10,200007,100081,20/08/19,"2,72,73,08,02,72,73,080","Tine Milk,Harringtons"
11,200007,100039,20/08/19,"2,72,73,08,02,72,73,080","Tine Milk,Harringtons"
12,200008,100080,04/04/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons,Trixie Wicker Cat Basket"
13,200008,100087,04/04/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons,Trixie Wicker Cat Basket"
14,200008,100049,04/04/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons,Trixie Wicker Cat Basket"
15,200008,100038,04/04/19,"2,72,73,08,02,72,73,07,00,00,00,00,00,00,00,000","Fiske Boller,Sine Moistur,Harringtons,Trixie Wicker Cat Basket"
16,200009,100014,20/07/19,"2,72,73,07,92,72,73,070","Corn ahoy,Tine Milk"
17,200009,100043,20/07/19,"2,72,73,07,92,72,73,070","Corn ahoy,Tine Milk"
18,200011,100002,17/06/19,27273072,Melkesjokolade
19,200012,100018,22/08/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Uriage,Dove Soap"
20,200012,100031,22/08/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Uriage,Dove Soap"
21,200012,100055,22/08/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Uriage,Dove Soap"
22,200012,100063,22/08/19,"2,72,73,07,82,72,73,07,00,00,00,00,00,00,00,000","Havre Fras,Fiske Boller,Uriage,Dove Soap"
23,200013,100047,08/02/19,27273076,Sine Moistur
24,200014,100048,14/05/19,"2,72,73,07,72,72,73,07,00,00,00,000","Tine Milk,Sine Moistur,Dove Soap"
25,200014,100040,14/05/19,"2,72,73,07,72,72,73,07,00,00,00,000","Tine Milk,Sine Moistur,Dove Soap"
26,200014,100065,14/05/19,"2,72,73,07,72,72,73,07,00,00,00,000","Tine Milk,Sine Moistur,Dove Soap"
